X0             Y0             Theta          X              Y              
15.0000        65.0000        2.6704         10.0014        67.5466        
15.0000        65.0000        2.9846         10.0015        65.7913        
15.0000        75.0000        3.2989         10.0013        74.2073        
15.0000        75.0000        3.6131         10.0013        72.4516        
15.0000        75.0000        3.9273         10.0014        69.9988        
15.0000        75.0000        4.2414         12.4530        69.9986        
15.0000        75.0000        4.5555         14.2087        69.9984        
15.0000        75.0000        4.8696         15.7927        69.9983        
15.0000        75.0000        5.1837         17.5489        69.9982        
15.0000        75.0000        5.4978         19.9985        69.9976        
15.0000        75.0000        -0.4713        20.0039        72.4497        
15.0000        75.0000        -0.1573        20.0035        74.2064        
15.0000        75.0000        0.1568         20.0033        75.7908        
15.0000        75.0000        0.4708         20.0031        77.5465        
15.0000        75.0000        0.7849         20.0027        79.9973        
15.0000        75.0000        1.0991         17.5491        79.9978        
15.0000        75.0000        1.4134         15.7931        79.9980        
15.0000        75.0000        1.7277         14.2092        79.9981        
15.0000        75.0000        2.0420         12.4535        79.9983        
15.0000        75.0000        2.3563         10.0010        79.9984        
15.0000        75.0000        2.6705         10.0011        77.5463        
15.0000        75.0000        2.9847         10.0012        75.7910        
15.0000        85.0000        3.2988         10.0008        84.2073        
15.0000        85.0000        3.6130         10.0009        82.4515        
15.0000        85.0000        3.9272         10.0010        79.9988        
15.0000        85.0000        4.2413         12.4528        79.9985        
15.0000        85.0000        4.5555         14.2086        79.9983        
15.0000        85.0000        4.8696         15.7927        79.9982        
15.0000        85.0000        5.1837         17.5490        79.9980        
15.0000        85.0000        5.4978         20.0019        79.9976        
15.0000        85.0000        -0.4713        20.0024        82.4508        
15.0000        85.0000        -0.1572        20.0022        84.2071        
15.0000        85.0000        0.1569         20.0020        85.7913        
15.0000        85.0000        0.4710         20.0019        87.5471        
15.0000        85.0000        0.7851         20.0017        89.9968        
15.0000        85.0000        1.0993         17.5482        89.9984        
15.0000        85.0000        1.4136         15.7925        89.9986        
15.0000        85.0000        1.7278         14.2087        89.9986        
15.0000        85.0000        2.0420         12.4530        89.9987        
15.0000        85.0000        2.3563         10.0010        89.9988        
15.0000        85.0000        2.6705         10.0007        87.5466        
15.0000        85.0000        2.9847         10.0009        85.7911        
15.0000        95.0000        3.2988         10.0006        94.2076        
15.0000        95.0000        3.6130         10.0006        92.4517        
15.0000        95.0000        3.9272         10.0006        89.9992        
15.0000        95.0000        4.2413         12.4528        89.9988        
15.0000        95.0000        4.5554         14.2085        89.9988        
15.0000        95.0000        4.8695         15.7925        89.9986        
15.0000        95.0000        5.1837         17.5486        89.9985        
15.0000        95.0000        5.4978         20.0016        89.9983        
15.0000        95.0000        -0.4713        20.0015        92.4514        
15.0000        95.0000        -0.1572        20.0014        94.2075        
15.0000        95.0000        0.1570         20.0012        95.7915        
15.0000        95.0000        0.4711         20.0012        97.5472        
